Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5194,Unknown,5,Total Phosphorus,0.0151,mg/L,,,,,,15.1,ppb
140,RW16-5195,Unknown,5,Chloride,10.3,mg/L,,,,,,10.3,mg/L
140,RW16-5195,Unknown,5,Sulfate,4.75,mg/L,,,,,,4.75,mg/L
140,RW16-5195,Unknown,5,TSS,0,mg/L,,,,,,0.4,mg/L
140,RW16-5195,Unknown,5,Nitrate-Nitrite,0.018,mg/L,,,,,,0.0183,mg/L
140,RW16-5195,Unknown,5,Total Phosphorus,0,mg/L,,,,,,2.01,ppb
140,RW16-5196,Unknown,5,Chloride,12.4,mg/L,,,,,,12.4,mg/L
140,RW16-5196,Unknown,5,Sulfate,3.44,mg/L,,,,,,3.44,mg/L
140,RW16-5196,Unknown,5,TSS,0,mg/L,,,,,,1.7,mg/L
140,RW16-5196,Unknown,5,Nitrate-Nitrite,0.074,mg/L,,,,,,0.0737,mg/L
140,RW16-5196,Unknown,5,Total Phosphorus,0.0174,mg/L,,,,,,17.4,ppb
140,RW16-5197,Unknown,5,Chloride,26.9,mg/L,,,,,,26.9,mg/L
140,RW16-5197,Unknown,5,Sulfate,112,mg/L,,,,,,112,mg/L
140,RW16-5197,Unknown,5,TSS,0,mg/L,,,,,,2.7,mg/L
140,RW16-5197,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0529,mg/L
140,RW16-5197,Unknown,5,Total Phosphorus,0.0428,mg/L,,,,,,42.8,ppb
140,RW16-5198,Unknown,5,Chloride,28.1,mg/L,,,,,,28.1,mg/L
140,RW16-5198,Unknown,5,Sulfate,135,mg/L,,,,,,135,mg/L
140,RW16-5198,Unknown,5,TSS,0,mg/L,,,,,,3.15,mg/L
140,RW16-5198,Unknown,5,Nitrate-Nitrite,0.145,mg/L,,,,,,0.145,mg/L
140,RW16-5198,Unknown,5,Total Phosphorus,0.0697,mg/L,,,,,,69.7,ppb
140,RW16-5199,Unknown,5,Chloride,0,mg/L,,,,,,0.538,mg/L
140,RW16-5199,Unknown,5,Sulfate,141,mg/L,,,,,,141,mg/L
140,RW16-5199,Unknown,5,TSS,0,mg/L,,,,,,0.15,mg/L
140,RW16-5199,Unknown,5,Nitrate-Nitrite,0.635,mg/L,,,,,,0.635,mg/L
140,RW16-5199,Unknown,5,Total Phosphorus,0.036,mg/L,,,,,,36,ppb
140,RW16-5200,Unknown,5,Chloride,1.24,mg/L,,,,,,1.24,mg/L
140,RW16-5200,Unknown,5,Sulfate,322,mg/L,Y,,,,,322,mg/L
140,RW16-5200,Unknown,5,TSS,48.9,mg/L,,,,,,48.9,mg/L
140,RW16-5200,Unknown,5,Nitrate-Nitrite,0.093,mg/L,,,,,,0.0925,mg/L
140,RW16-5200,Unknown,5,Total Phosphorus,0.0542,mg/L,,,,,,54.2,ppb
140,RW16-5201,Unknown,5,Chloride,0,mg/L,,,,,,0.703,mg/L
140,RW16-5201,Duplicate Set,55,Chloride,1.1,mg/L,,,,,,1.1,mg/L
140,RW16-5201,Unknown,5,Sulfate,352,mg/L,Y,,,,,352,mg/L
140,RW16-5201,Duplicate Set,55,Sulfate,281,mg/L,,,,,,281,mg/L
140,RW16-5201,Unknown,5,TSS,12.7,mg/L,,,,,,12.7,mg/L
140,RW16-5201,Unknown,5,Nitrate-Nitrite,0.068,mg/L,,,,,,0.0676,mg/L
140,RW16-5201,Duplicate Set,55,Nitrate-Nitrite,0.041,mg/L,,,,,,0.0412,mg/L
140,RW16-5201,Unknown,5,Total Phosphorus,0.0575,mg/L,,,,,,57.5,ppb
140,RW16-5201,Duplicate Set,55,Total Phosphorus,0.0602,mg/L,,,,,,60.2,ppb
140,RW16-5201,Duplicate Set,55,Chloride,1.09,mg/L,,1.4%,,,,1.09,mg/L
140,RW16-5201,Duplicate Set,55,Sulfate,282,mg/L,,0.4%,,,,282,mg/L
140,RW16-5201,Duplicate Set,55,TSS,11.9,mg/L,,,,,,11.9,mg/L
140,RW16-5201,Duplicate Set,55,Nitrate-Nitrite,0.054,mg/L,,26.0%,,,,0.0535,mg/L
140,RW16-5201,Duplicate Set,55,Total Phosphorus,0.0591,mg/L,,1.9%,,,,59.1,ppb
140,RW16-5202,Unknown,5,Chloride,1.12,mg/L,,,,,,1.12,mg/L
140,RW16-5202,Unknown,5,Sulfate,284,mg/L,,,,,,284,mg/L
140,RW16-5202,Unknown,5,TSS,5.1,mg/L,,,,,,5.1,mg/L
140,RW16-5202,Unknown,5,Nitrate-Nitrite,0.141,mg/L,,,,,,0.141,mg/L
140,RW16-5202,Unknown,5,Total Phosphorus,0.0601,mg/L,,,,,,60.1,ppb
140,RW16-5203,Unknown,25,Chloride,60.2,mg/L,,,,,,60.2,mg/L
140,RW16-5203,Unknown,25,Sulfate,734,mg/L,Y,,,,,734,mg/L
140,RW16-5203,Unknown,25,TSS,15.9,mg/L,,,,,,15.9,mg/L
140,RW16-5203,Unknown,25,Nitrate-Nitrite,0.133,mg/L,,,,,,0.133,mg/L
140,RW16-5203,Unknown,25,Total Phosphorus,0.126,mg/L,,,,,,126,ppb
140,RW16-5204,Unknown,5,Chloride,19.3,mg/L,,,,,,19.3,mg/L
140,RW16-5204,Unknown,5,Sulfate,489,mg/L,Y,,,,,489,mg/L
140,RW16-5204,Unknown,5,TSS,167.9,mg/L,,,,,,167.9,mg/L
140,RW16-5204,Unknown,5,Nitrate-Nitrite,0.36,mg/L,,,,,,0.36,mg/L
140,RW16-5204,Unknown,5,Total Phosphorus,0.18,mg/L,,,,,,180,ppb
140,RW16-5205,Unknown,5,Chloride,76.2,mg/L,,,,,,76.2,mg/L
140,RW16-5205,Unknown,5,Sulfate,431,mg/L,,,,,,431,mg/L
140,RW16-5205,Unknown,5,TSS,43.2,mg/L,,,,,,43.2,mg/L
140,RW16-5205,Unknown,5,Nitrate-Nitrite,0.511,mg/L,,,,,,0.511,mg/L
140,RW16-5205,Unknown,5,Total Phosphorus,2.48,mg/L,,,,,,2480,ppb
140,RW16-5206,Unknown,5,Chloride,19.4,mg/L,,,,,,19.4,mg/L
140,RW16-5206,Unknown,5,Sulfate,485,mg/L,Y,,,,,485,mg/L
140,RW16-5206,Unknown,5,TSS,153.9,mg/L,,,,,,153.9,mg/L
140,RW16-5206,Unknown,5,Nitrate-Nitrite,0.378,mg/L,,,,,,0.378,mg/L
140,RW16-5206,Unknown,5,Total Phosphorus,0.187,mg/L,,,,,,187,ppb
140,RW16-5207,Unknown,35,Chloride,59.7,mg/L,,100.8%,,,,59.7,mg/L
140,RW16-5207,Unknown,35,Sulfate,882,mg/L,Y,83.2%,,,,882,mg/L
140,RW16-5207,Unknown,35,TSS,18.1,mg/L,,87.8%,,,,18.1,mg/L
140,RW16-5207,Unknown,35,Nitrate-Nitrite,0.068,mg/L,,195.6%,,,,0.068,mg/L
140,RW16-5207,Unknown,35,Total Phosphorus,0.15,mg/L,,84.0%,,,,150,ppb
140,RW16-5208,Unknown,5,Chloride,3.84,mg/L,,,,,,3.84,mg/L
140,RW16-5208,Unknown,5,Sulfate,179,mg/L,,,,,,179,mg/L
140,RW16-5208,Unknown,5,TSS,65.4,mg/L,,,,,,65.4,mg/L
140,RW16-5208,Unknown,5,Nitrate-Nitrite,0.029,mg/L,,,,,,0.0294,mg/L
140,RW16-5208,Unknown,5,Total Phosphorus,0.0956,mg/L,,,,,,95.6,ppb
140,RW16-5209,Unknown,5,Chloride,13.6,mg/L,,,,,,13.6,mg/L
140,RW16-5209,Unknown,5,Sulfate,196,mg/L,,,,,,196,mg/L
140,RW16-5209,Unknown,5,TSS,51.2,mg/L,,,,,,51.2,mg/L
140,RW16-5209,Unknown,5,Nitrate-Nitrite,0.104,mg/L,,,,,,0.104,mg/L
140,RW16-5209,Unknown,5,Total Phosphorus,0.101,mg/L,,,,,,101,ppb
140,RW16-5210,Unknown,5,Chloride,25.1,mg/L,,,,,,25.1,mg/L
140,RW16-5210,Unknown,5,Sulfate,282,mg/L,Y,,,,,282,mg/L
140,RW16-5210,Unknown,5,TSS,6.9,mg/L,,,,,,6.9,mg/L
140,RW16-5210,Unknown,5,Nitrate-Nitrite,0.079,mg/L,,,,,,0.079,mg/L
140,RW16-5210,Unknown,5,Total Phosphorus,0.0861,mg/L,,,,,,86.1,ppb
140,RW16-5211,Unknown,5,Chloride,0,mg/L,,,,,,0.827,mg/L
140,RW16-5211,Unknown,5,Sulfate,271,mg/L,,,,,,271,mg/L
140,RW16-5211,Unknown,5,TSS,0,mg/L,,,,,,2.65,mg/L
140,RW16-5211,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0462,mg/L
140,RW16-5211,Unknown,5,Total Phosphorus,0.0551,mg/L,,,,,,55.1,ppb
140,RW16-5213,Unknown,5,Chloride,1.04,mg/L,,,,,,1.04,mg/L
140,RW16-5213,Unknown,5,Sulfate,474,mg/L,Y,,,,,474,mg/L
140,RW16-5213,Unknown,5,TSS,28.4,mg/L,,,,,,28.4,mg/L
140,RW16-5213,Unknown,5,Nitrate-Nitrite,0.257,mg/L,,,,,,0.257,mg/L
140,RW16-5213,Unknown,5,Total Phosphorus,0.0891,mg/L,,,,,,89.1,ppb
140,RW16-5214,Unknown,5,Chloride,0,mg/L,,,,,,0.915,mg/L
140,RW16-5214,Unknown,5,Sulfate,379,mg/L,Y,,,,,379,mg/L
140,RW16-5214,Unknown,5,TSS,8.7,mg/L,,,,,,8.65,mg/L
140,RW16-5214,Unknown,5,Nitrate-Nitrite,0.032,mg/L,,,,,,0.0317,mg/L
140,RW16-5214,Unknown,5,Total Phosphorus,0.0685,mg/L,,,,,,68.5,ppb
140,RW16-5215,Unknown,25,Chloride,71,mg/L,,,,,,71,mg/L
140,RW16-5215,Unknown,25,Sulfate,96.9,mg/L,,,,,,96.9,mg/L
140,RW16-5215,Unknown,25,TSS,31.9,mg/L,,,,,,31.95,mg/L
140,RW16-5215,Unknown,25,Nitrate-Nitrite,0.05,mg/L,,,,,,0.0495,mg/L
140,RW16-5215,Unknown,25,Total Phosphorus,0.187,mg/L,,,,,,187,ppb
140,RW16-5216,Unknown,35,Chloride,71.3,mg/L,,,,,,71.3,mg/L
140,RW16-5216,Unknown,35,Sulfate,129,mg/L,,,,,,129,mg/L
140,RW16-5216,Unknown,35,TSS,26.3,mg/L,,,,,,26.25,mg/L
140,RW16-5216,Unknown,35,Nitrate-Nitrite,0,mg/L,,,,,,-0.0142,mg/L
140,RW16-5216,Unknown,35,Total Phosphorus,0.178,mg/L,,,,,,178,ppb
140,RW16-5217,Unknown,5,Chloride,67.6,mg/L,,,,,,67.6,mg/L
140,RW16-5217,Unknown,5,Sulfate,102,mg/L,,,,,,102,mg/L
140,RW16-5217,Unknown,5,TSS,25.2,mg/L,,,,,,25.15,mg/L
140,RW16-5217,Unknown,5,Nitrate-Nitrite,0.052,mg/L,,,,,,0.0523,mg/L
140,RW16-5217,Unknown,5,Total Phosphorus,0.161,mg/L,,,,,,161,ppb
140,RW16-5218,Unknown,5,Chloride,0,mg/L,,,,,,0.905,mg/L
140,RW16-5218,Unknown,5,Sulfate,70.3,mg/L,,,,,,70.3,mg/L
140,RW16-5218,Unknown,5,TSS,0,mg/L,,,,,,1.4,mg/L
140,RW16-5218,Unknown,5,Nitrate-Nitrite,0.768,mg/L,,,,,,0.768,mg/L
140,RW16-5218,Unknown,5,Total Phosphorus,0.0431,mg/L,,,,,,43.1,ppb
140,RW16-5219,Unknown,5,Chloride,6.21,mg/L,,,,,,6.21,mg/L
140,RW16-5219,Unknown,5,Sulfate,111,mg/L,,,,,,111,mg/L
140,RW16-5219,Unknown,5,TSS,4,mg/L,,,,,,4,mg/L
140,RW16-5219,Unknown,5,Nitrate-Nitrite,0.078,mg/L,,,,,,0.0781,mg/L
140,RW16-5219,Unknown,5,Total Phosphorus,0.0562,mg/L,,,,,,56.2,ppb
140,RW16-5220,Unknown,5,Chloride,15,mg/L,,,,,,15,mg/L
140,RW16-5220,Unknown,5,Sulfate,218,mg/L,,,,,,218,mg/L
140,RW16-5220,Unknown,5,TSS,42.6,mg/L,,,,,,42.6,mg/L
140,RW16-5220,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-1.51,mg/L
140,RW16-5220,Unknown,5,Total Phosphorus,0.103,mg/L,,,,,,103,ppb
140,RW16-5221,Unknown,25,Chloride,12.2,mg/L,,,,,,12.2,mg/L
140,RW16-5221,Unknown,25,Sulfate,180,mg/L,,,,,,180,mg/L
140,RW16-5221,Unknown,25,TSS,50.3,mg/L,,,,,,50.25,mg/L
140,RW16-5221,Unknown,25,Nitrate-Nitrite,0,mg/L,,,,,,-0.0839,mg/L
140,RW16-5221,Unknown,25,Total Phosphorus,0.0908,mg/L,,,,,,90.8,ppb
140,RW16-5222,Unknown,35,Chloride,12.4,mg/L,,,,,,12.4,mg/L
140,RW16-5222,Unknown,35,Sulfate,198,mg/L,,,,,,198,mg/L
140,RW16-5222,Unknown,35,TSS,42.8,mg/L,,,,,,42.75,mg/L
140,RW16-5222,Unknown,35,Nitrate-Nitrite,0,mg/L,,,,,,-0.0711,mg/L
140,RW16-5222,Unknown,35,Total Phosphorus,0.103,mg/L,,,,,,103,ppb
140,RW16-5223,Unknown,5,Chloride,5.38,mg/L,,,,,,5.38,mg/L
140,RW16-5223,Unknown,5,Sulfate,66.6,mg/L,,,,,,66.6,mg/L
140,RW16-5223,Unknown,5,TSS,0,mg/L,,,,,,3.45,mg/L
140,RW16-5223,Unknown,5,Nitrate-Nitrite,0.58,mg/L,,,,,,0.58,mg/L
140,RW16-5223,Unknown,5,Total Phosphorus,0.0837,mg/L,,,,,,83.7,ppb
140,RW16-5224,Unknown,5,Chloride,6.5,mg/L,,,,,,6.5,mg/L
140,RW16-5224,Unknown,5,Sulfate,117,mg/L,,,,,,117,mg/L
140,RW16-5224,Unknown,5,TSS,21.8,mg/L,,,,,,21.75,mg/L
140,RW16-5224,Unknown,5,Nitrate-Nitrite,0.344,mg/L,,,,,,0.344,mg/L
140,RW16-5224,Unknown,5,Total Phosphorus,0.0828,mg/L,,,,,,82.8,ppb
140,RW16-5225,Unknown,35,Chloride,19.2,mg/L,,,,,,19.2,mg/L
140,RW16-5225,Unknown,35,Sulfate,298,mg/L,Y,,,,,298,mg/L
140,RW16-5225,Unknown,35,TSS,94.1,mg/L,,,,,,94.05,mg/L
140,RW16-5225,Unknown,35,Nitrate-Nitrite,0,mg/L,,,,,,-0.0495,mg/L
140,RW16-5225,Unknown,35,Total Phosphorus,0.095,mg/L,,,,,,95,ppb
140,RW16-5226,Unknown,25,Chloride,19.7,mg/L,,,,,,19.7,mg/L
140,RW16-5226,Unknown,25,Sulfate,291,mg/L,Y,,,,,291,mg/L
140,RW16-5226,Unknown,25,TSS,123.9,mg/L,,,,,,123.9,mg/L
140,RW16-5226,Unknown,25,Nitrate-Nitrite,0.049,mg/L,,,,,,0.0488,mg/L
140,RW16-5226,Unknown,25,Total Phosphorus,0.107,mg/L,,,,,,107,ppb
140,RW16-5227,Unknown,5,TSS,0,mg/L,,,,,,0,mg/L
140,RW16-5227 ,Unknown,5,Nitrate-Nitrite,0.108,mg/L,,,,,,0.108,mg/L
140,RW16-5227 ,Unknown,5,Total Phosphorus,0.0545,mg/L,,,,,,54.5,ppb
140,RW16-5228,Unknown,5,Chloride,10.9,mg/L,,,,,,10.9,mg/L
140,RW16-5228,Unknown,5,Sulfate,101,mg/L,,,,,,101,mg/L
140,RW16-5228,Unknown,5,TSS,20.2,mg/L,,,,,,20.2,mg/L
140,RW16-5228,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0156,mg/L
140,RW16-5228,Unknown,5,Total Phosphorus,0.126,mg/L,,,,,,126,ppb
140,RW16-5229,Unknown,5,Chloride,6.15,mg/L,,,,,,6.15,mg/L
140,RW16-5229,Unknown,5,Sulfate,99.3,mg/L,,,,,,99.3,mg/L
140,RW16-5229,Unknown,5,TSS,27.5,mg/L,,,,,,27.5,mg/L
140,RW16-5229,Unknown,5,Nitrate-Nitrite,0.039,mg/L,,,,,,0.0386,mg/L
140,RW16-5229,Unknown,5,Total Phosphorus,0.156,mg/L,,,,,,156,ppb
140,RW16-5230,Unknown,5,Chloride,4.28,mg/L,,,,,,4.28,mg/L
140,RW16-5230,Unknown,5,Sulfate,75.1,mg/L,,,,,,75.1,mg/L
140,RW16-5230,Unknown,5,TSS,17.7,mg/L,,,,,,17.7,mg/L
140,RW16-5230,Unknown,5,Nitrate-Nitrite,0.021,mg/L,,,,,,0.0208,mg/L
140,RW16-5230,Unknown,5,Total Phosphorus,0.0698,mg/L,,,,,,69.8,ppb
140,RW16-5231,Unknown,5,Chloride,1.03,mg/L,,,,,,1.03,mg/L
140,RW16-5231,Unknown,5,Sulfate,55.9,mg/L,,,,,,55.9,mg/L
140,RW16-5231,Unknown,5,TSS,7.1,mg/L,,,,,,7.05,mg/L
140,RW16-5231,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0216,mg/L
140,RW16-5231,Unknown,5,Total Phosphorus,0.0759,mg/L,,,,,,75.9,ppb
140,RW16-5232,Unknown,5,Chloride,0,mg/L,,,,,,0.905,mg/L
140,RW16-5232,Unknown,5,Sulfate,24.2,mg/L,,,,,,24.2,mg/L
140,RW16-5232,Unknown,5,TSS,4.4,mg/L,,,,,,4.35,mg/L
140,RW16-5232,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.968,mg/L
140,RW16-5232,Unknown,5,Total Phosphorus,0.0668,mg/L,,,,,,66.8,ppb
140,RW16-5233,Unknown,5,Chloride,0,mg/L,,,,,,0.943,mg/L
140,RW16-5233,Unknown,5,Sulfate,68.1,mg/L,,,,,,68.1,mg/L
140,RW16-5233,Unknown,5,TSS,6.2,mg/L,,,,,,6.15,mg/L
140,RW16-5233,Unknown,5,Nitrate-Nitrite,0.037,mg/L,,,,,,0.0374,mg/L
140,RW16-5233,Unknown,5,Total Phosphorus,0.0905,mg/L,,,,,,90.5,ppb
140,RW16-5234,Unknown,5,Chloride,1.04,mg/L,,,,,,1.04,mg/L
140,RW16-5234,Unknown,5,Sulfate,77.6,mg/L,,,,,,77.6,mg/L
140,RW16-5234,Unknown,5,TSS,0,mg/L,,,,,,3.75,mg/L
140,RW16-5234,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,0.00749,mg/L
140,RW16-5234,Unknown,5,Total Phosphorus,0.106,mg/L,,,,,,106,ppb
140,RW16-5235,Unknown,5,Chloride,0,mg/L,,,,,,0.908,mg/L
140,RW16-5235,Unknown,5,Sulfate,58.9,mg/L,,,,,,58.9,mg/L
140,RW16-5235,Unknown,5,TSS,6.1,mg/L,,,,,,6.15,mg/L
140,RW16-5235,Unknown,5,Nitrate-Nitrite,0.143,mg/L,,,,,,0.143,mg/L
140,RW16-5235,Unknown,5,Total Phosphorus,0.106,mg/L,,,,,,106,ppb
140,RW16-5236,Unknown,5,Chloride,0,mg/L,,,,,,0.815,mg/L
140,RW16-5236,Unknown,5,Sulfate,66.9,mg/L,,,,,,66.9,mg/L
140,RW16-5236,Unknown,5,TSS,7.4,mg/L,,,,,,7.4,mg/L
140,RW16-5236,Unknown,5,Nitrate-Nitrite,0.024,mg/L,,,,,,0.0243,mg/L
140,RW16-5236,Unknown,5,Total Phosphorus,0.105,mg/L,,,,,,105,ppb
